date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2022-01-11,20.0,30.0,50.0,70.0,30.0,20.0,10.0,10.0,50.0,0.0,100.0,1
2022-01-12,20.0,30.0,50.0,70.0,30.0,20.0,10.0,10.0,50.0,0.0,100.0,0
2022-01-13,20.0,30.0,50.0,70.0,30.0,20.0,10.0,10.0,50.0,0.0,100.0,0
2022-01-14,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,1
2022-01-15,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-16,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-17,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-18,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-19,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-20,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-21,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-22,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-23,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-24,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-25,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-26,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-27,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-28,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-29,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-30,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-01-31,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-01,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-02,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-03,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-04,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-05,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-06,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-07,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-08,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-09,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-10,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-11,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-12,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-13,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-14,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-15,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-16,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-17,-20.0,40.0,50.0,70.0,60.0,50.0,40.0,30.0,100.0,0.0,50.0,0
2022-02-18,0.0,30.0,50.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,1
2022-02-19,0.0,30.0,50.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,0
2022-02-20,0.0,30.0,50.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,0
2022-02-21,0.0,30.0,50.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,0
2022-02-22,0.0,30.0,50.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,0
2022-02-23,0.0,35.0,25.0,0.0,0.0,70.0,0.0,25.0,50.0,50.0,50.0,2
2022-02-24,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,1
2022-02-25,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-02-26,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-02-27,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-02-28,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-01,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-02,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-03,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-04,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-05,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-06,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-07,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-08,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-09,40.0,70.0,60.0,90.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,0
2022-03-10,30.0,80.0,50.0,90.0,70.0,60.0,50.0,80.0,0.0,100.0,100.0,1
2022-03-11,30.0,80.0,50.0,90.0,70.0,60.0,50.0,80.0,0.0,100.0,100.0,0
2022-03-12,30.0,80.0,50.0,90.0,70.0,60.0,50.0,80.0,0.0,100.0,100.0,0
2022-03-13,30.0,80.0,50.0,90.0,70.0,60.0,50.0,80.0,0.0,100.0,100.0,0
2022-03-14,0.0,20.0,50.0,0.0,0.0,80.0,0.0,20.0,50.0,50.0,50.0,1
2022-03-15,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,1
2022-03-16,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-17,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-18,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-19,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-20,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-21,20.0,70.0,50.0,80.0,60.0,50.0,30.0,70.0,50.0,0.0,100.0,0
2022-03-22,0.0,60.0,20.0,10.0,20.0,80.0,0.0,70.0,50.0,50.0,50.0,1
2022-03-23,0.0,60.0,20.0,10.0,20.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-03-24,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,1
2022-03-25,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,0
2022-03-26,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,0
2022-03-27,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,0
2022-03-28,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,0
2022-03-29,30.0,70.0,50.0,80.0,60.0,50.0,40.0,70.0,50.0,0.0,100.0,0
2022-03-30,10.0,70.0,50.0,40.0,35.0,40.0,20.0,50.0,50.0,25.0,75.0,2
2022-03-31,-20.0,60.0,50.0,80.0,70.0,60.0,30.0,50.0,50.0,0.0,50.0,1
2022-04-01,-20.0,60.0,50.0,80.0,70.0,60.0,30.0,50.0,50.0,0.0,50.0,0
2022-04-02,60.0,70.0,50.0,90.0,70.0,50.0,60.0,80.0,0.0,100.0,100.0,1
2022-04-03,60.0,70.0,50.0,90.0,70.0,50.0,60.0,80.0,0.0,100.0,100.0,0
2022-04-04,60.0,70.0,50.0,90.0,70.0,50.0,60.0,80.0,0.0,100.0,100.0,0
2022-04-05,60.0,70.0,50.0,90.0,70.0,50.0,60.0,80.0,0.0,100.0,100.0,0
2022-04-06,-10.0,90.0,15.0,35.0,40.0,30.0,20.0,45.0,50.0,25.0,50.0,2
2022-04-07,-10.0,90.0,15.0,35.0,40.0,30.0,20.0,45.0,50.0,25.0,50.0,0
2022-04-08,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,1
2022-04-09,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-10,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-11,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-12,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-13,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-14,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-15,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-16,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-17,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-18,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-19,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-20,0.0,60.0,20.0,0.0,20.0,80.0,0.0,10.0,50.0,50.0,50.0,0
2022-04-21,20.0,70.0,50.0,80.0,70.0,60.0,40.0,50.0,50.0,100.0,100.0,1
2022-04-22,0.0,70.0,20.0,20.0,60.0,40.0,10.0,90.0,50.0,50.0,50.0,1
2022-04-23,0.0,70.0,20.0,20.0,60.0,40.0,10.0,90.0,50.0,50.0,50.0,0
2022-04-24,0.0,70.0,20.0,20.0,60.0,40.0,10.0,90.0,50.0,50.0,50.0,0
2022-04-25,-10.0,60.0,40.0,10.0,20.0,90.0,0.0,30.0,50.0,0.0,50.0,1
2022-04-26,-10.0,60.0,40.0,10.0,20.0,90.0,0.0,30.0,50.0,0.0,50.0,0
2022-04-27,15.0,70.0,50.0,75.0,30.0,40.0,10.0,60.0,50.0,50.0,75.0,2
2022-04-28,20.0,70.0,50.0,80.0,70.0,60.0,40.0,50.0,50.0,100.0,100.0,1
2022-04-29,20.0,70.0,50.0,80.0,70.0,60.0,40.0,50.0,50.0,100.0,100.0,0
2022-04-30,20.0,70.0,50.0,80.0,70.0,60.0,40.0,50.0,50.0,100.0,100.0,0
