date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2022-01-11,30.0,40.0,50.0,80.0,60.0,50.0,70.0,20.0,50.0,100.0,100.0,1
2022-01-12,30.0,40.0,50.0,80.0,60.0,50.0,70.0,20.0,50.0,100.0,100.0,0
2022-01-13,50.0,30.0,50.0,80.0,60.0,40.0,70.0,30.0,50.0,100.0,100.0,1
2022-01-14,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,1
2022-01-15,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-16,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-17,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-18,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-19,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-20,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-21,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-22,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-23,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-24,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-25,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-26,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-27,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-28,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-29,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-30,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-01-31,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-02-01,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-02-02,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,0
2022-02-03,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,1
2022-02-04,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-05,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-06,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-07,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-08,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-09,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-10,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-11,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-12,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-13,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-14,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-15,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-16,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-17,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,0
2022-02-18,37.5,50.0,50.0,45.0,45.0,65.0,40.0,35.0,25.0,75.0,75.0,2
2022-02-19,37.5,50.0,50.0,45.0,45.0,65.0,40.0,35.0,25.0,75.0,75.0,0
2022-02-20,37.5,50.0,50.0,45.0,45.0,65.0,40.0,35.0,25.0,75.0,75.0,0
2022-02-21,80.0,40.0,75.0,100.0,60.0,30.0,70.0,10.0,0.0,100.0,100.0,1
2022-02-22,80.0,40.0,75.0,100.0,60.0,30.0,70.0,10.0,0.0,100.0,100.0,0
2022-02-23,80.0,40.0,75.0,100.0,60.0,30.0,70.0,10.0,0.0,100.0,100.0,0
