date,hawkish_dovish_score,uncertainty,forward_guidance_strength,topic_inflation,topic_growth,topic_financial_stability,topic_labor_market,topic_international,stocks_diffusion_index,bonds_diffusion_index,currency_diffusion_index,speech_count
2022-01-11,30.0,40.0,50.0,80.0,60.0,50.0,70.0,20.0,50.0,100.0,100.0,1
2022-01-13,50.0,30.0,50.0,80.0,60.0,40.0,70.0,30.0,50.0,100.0,100.0,1
2022-01-14,40.0,60.0,50.0,80.0,70.0,30.0,60.0,20.0,0.0,100.0,100.0,1
2022-02-03,0.0,20.0,0.0,0.0,0.0,80.0,0.0,70.0,50.0,50.0,50.0,1
2022-02-18,37.5,50.0,50.0,45.0,45.0,65.0,40.0,35.0,25.0,75.0,75.0,2
2022-02-21,80.0,40.0,75.0,100.0,60.0,30.0,70.0,10.0,0.0,100.0,100.0,1
2022-02-24,80.0,60.0,70.0,100.0,70.0,30.0,80.0,40.0,0.0,100.0,100.0,1
2022-03-02,70.0,60.0,80.0,90.0,70.0,40.0,80.0,50.0,0.0,100.0,100.0,1
2022-03-18,0.0,30.0,20.0,10.0,50.0,20.0,70.0,0.0,50.0,50.0,50.0,1
2022-03-21,75.0,70.0,60.0,90.0,60.0,30.0,70.0,50.0,0.0,100.0,100.0,1
2022-03-24,50.0,40.0,70.0,80.0,60.0,70.0,40.0,10.0,0.0,100.0,100.0,1
2022-03-25,30.0,70.0,50.0,70.0,30.0,50.0,10.0,80.0,50.0,100.0,100.0,1
2022-04-05,75.0,40.0,80.0,100.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,1
2022-05-06,60.0,70.0,50.0,90.0,60.0,30.0,80.0,10.0,0.0,100.0,100.0,1
2022-05-24,0.0,50.0,0.0,10.0,20.0,10.0,10.0,20.0,50.0,50.0,50.0,1
2022-05-30,80.0,30.0,80.0,100.0,60.0,30.0,70.0,40.0,0.0,100.0,100.0,1
2022-06-01,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,50.0,1
2022-06-03,0.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,50.0,50.0,50.0,1
2022-06-17,20.0,40.0,50.0,60.0,20.0,80.0,0.0,90.0,50.0,0.0,100.0,1
2022-06-18,70.0,40.0,60.0,90.0,50.0,40.0,70.0,10.0,0.0,100.0,100.0,1
2022-06-22,80.0,60.0,70.0,100.0,70.0,60.0,80.0,50.0,0.0,100.0,100.0,1
2022-06-23,85.0,20.0,80.0,100.0,40.0,30.0,70.0,50.0,0.0,100.0,100.0,1
2022-07-08,40.0,55.0,50.0,60.0,40.0,60.0,35.0,35.0,25.0,75.0,75.0,2
2022-07-14,85.0,40.0,75.0,100.0,70.0,30.0,80.0,20.0,0.0,100.0,100.0,1
2022-07-19,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,1
2022-08-06,80.0,30.0,50.0,100.0,60.0,40.0,70.0,50.0,0.0,100.0,100.0,1
2022-08-17,0.0,60.0,25.0,10.0,20.0,30.0,40.0,0.0,50.0,50.0,50.0,2
2022-08-26,80.0,30.0,70.0,100.0,60.0,30.0,70.0,20.0,0.0,100.0,100.0,1
2022-08-29,0.0,20.0,80.0,0.0,20.0,10.0,0.0,0.0,50.0,50.0,50.0,1
2022-09-07,37.5,45.0,62.5,50.0,45.0,65.0,30.0,20.0,25.0,75.0,75.0,2
2022-09-09,80.0,60.0,50.0,100.0,70.0,30.0,80.0,10.0,0.0,100.0,100.0,1
2022-09-28,0.0,25.0,0.0,0.0,0.0,40.0,0.0,0.0,50.0,50.0,50.0,2
